StudentID,AssignmentID,SubmissionDate,GradeID
82791623574,1,2024-09-07 06:51:00,1
53526300600,1,2024-09-08 06:51:00,2
18226618169,2,2024-11-14 08:19:00,3
82791623574,2,2024-11-11 08:19:00,4
53526300600,2,2024-11-10 08:19:00,5
75191472850,2,2024-11-14 08:19:00,6
53526300600,3,2024-09-05 22:27:00,7
75191472850,3,2024-09-06 22:27:00,8
82791623574,3,2024-09-07 22:27:00,9
18226618169,3,2024-09-07 22:27:00,10
82791623574,4,2024-10-19 22:33:00,11
53526300600,4,2024-10-18 22:33:00,12
75191472850,5,2024-10-23 20:43:00,13
18226618169,5,2024-10-24 20:43:00,14
82791623574,5,2024-10-22 20:43:00,15
18226618169,6,2024-10-17 04:02:00,16
82791623574,6,2024-10-18 04:02:00,17
75191472850,7,2025-04-14 10:57:00,18
18226618169,7,2025-04-16 10:57:00,19
18226618169,8,2025-04-28 00:18:00,20
75191472850,8,2025-04-29 00:18:00,21
53526300600,8,2025-04-30 00:18:00,22
82791623574,8,2025-04-30 00:18:00,23
18226618169,9,2025-05-30 06:39:00,24
75191472850,9,2025-05-26 06:39:00,25
53526300600,9,2025-05-26 06:39:00,26
82791623574,9,2025-05-27 06:39:00,27
53526300600,10,2025-04-22 04:31:00,28
82791623574,10,2025-04-17 04:31:00,29
18226618169,10,2025-04-22 04:31:00,30
95189531079,11,2024-09-07 14:48:00,31
27232610956,11,2024-09-05 14:48:00,32
15028551002,11,2024-09-05 14:48:00,33
44102559557,11,2024-09-02 14:48:00,34
57256139356,11,2024-09-05 14:48:00,35
12567264591,11,2024-09-06 14:48:00,36
44102559557,12,2024-11-01 10:21:00,37
27232610956,12,2024-11-03 10:21:00,38
12567264591,12,2024-11-06 10:21:00,39
95189531079,12,2024-11-03 10:21:00,40
95189531079,13,2025-03-30 05:40:00,41
15028551002,13,2025-03-31 05:40:00,42
44102559557,13,2025-03-29 05:40:00,43
27232610956,13,2025-04-02 05:40:00,44
27232610956,14,2025-02-12 22:25:00,45
15028551002,14,2025-02-09 22:25:00,46
95189531079,14,2025-02-09 22:25:00,47
57256139356,14,2025-02-08 22:25:00,48
44102559557,14,2025-02-09 22:25:00,49
12567264591,14,2025-02-09 22:25:00,50
95189531079,15,2025-04-27 05:45:00,51
12567264591,15,2025-04-22 05:45:00,52
27232610956,15,2025-04-27 05:45:00,53
57256139356,15,2025-04-26 05:45:00,54
44102559557,15,2025-04-23 05:45:00,55
15028551002,16,2025-04-24 14:55:00,56
12567264591,16,2025-04-25 14:55:00,57
57256139356,16,2025-04-25 14:55:00,58
44102559557,16,2025-04-29 14:55:00,59
95189531079,16,2025-04-26 14:55:00,60
12567264591,17,2025-01-31 04:14:00,61
57256139356,17,2025-01-28 04:14:00,62
15028551002,17,2025-01-28 04:14:00,63
44102559557,17,2025-01-31 04:14:00,64
27232610956,17,2025-01-31 04:14:00,65
95189531079,17,2025-02-02 04:14:00,66
12567264591,18,2025-05-22 08:21:00,67
95189531079,18,2025-05-20 08:21:00,68
57256139356,18,2025-05-23 08:21:00,69
44102559557,18,2025-05-24 08:21:00,70
87149842862,19,2024-10-24 20:21:00,71
21022187836,19,2024-10-24 20:21:00,72
99680161770,20,2024-10-19 08:32:00,73
21022187836,20,2024-10-17 08:32:00,74
14836454569,20,2024-10-16 08:32:00,75
87149842862,20,2024-10-17 08:32:00,76
87149842862,21,2024-08-31 02:38:00,77
21022187836,21,2024-08-30 02:38:00,78
21022187836,22,2024-10-24 00:13:00,79
99680161770,22,2024-10-21 00:13:00,80
21813338089,23,2024-11-13 03:07:00,81
11083820520,23,2024-11-11 03:07:00,82
56923367700,23,2024-11-12 03:07:00,83
56923367700,24,2024-10-13 12:06:00,84
11083820520,24,2024-10-14 12:06:00,85
11083820520,25,2024-12-17 22:54:00,86
11994391037,25,2024-12-13 22:54:00,87
56923367700,25,2024-12-17 22:54:00,88
21813338089,25,2024-12-13 22:54:00,89
21813338089,26,2024-10-08 00:49:00,90
56923367700,26,2024-10-05 00:49:00,91
11994391037,26,2024-10-08 00:49:00,92
11083820520,26,2024-10-03 00:49:00,93
56923367700,27,2024-09-30 07:27:00,94
21813338089,27,2024-10-03 07:27:00,95
21813338089,28,2024-09-20 21:02:00,96
56923367700,28,2024-09-20 21:02:00,97
11994391037,28,2024-09-24 21:02:00,98
11994391037,29,2024-10-31 08:35:00,99
11083820520,29,2024-11-02 08:35:00,100
21813338089,29,2024-11-02 08:35:00,101
94313662902,30,2024-09-17 19:40:00,102
17704155024,30,2024-09-20 19:40:00,103
63088232873,30,2024-09-21 19:40:00,104
60165377781,30,2024-09-18 19:40:00,105
60165377781,31,2024-11-26 11:37:00,106
94313662902,31,2024-11-25 11:37:00,107
94313662902,32,2024-11-08 23:38:00,108
63088232873,32,2024-11-08 23:38:00,109
60165377781,33,2025-03-30 14:06:00,110
94313662902,33,2025-04-01 14:06:00,111
17704155024,33,2025-04-03 14:06:00,112
63088232873,33,2025-04-03 14:06:00,113
63088232873,34,2025-02-18 12:36:00,114
60165377781,34,2025-02-20 12:36:00,115
37468325386,35,2024-10-19 16:03:00,116
60154075612,35,2024-10-21 16:03:00,117
03519513303,35,2024-10-18 16:03:00,118
12449134563,35,2024-10-21 16:03:00,119
03519513303,36,2024-09-13 16:48:00,120
31132510568,36,2024-09-14 16:48:00,121
60154075612,36,2024-09-13 16:48:00,122
37468325386,36,2024-09-09 16:48:00,123
37468325386,37,2024-09-11 21:26:00,124
03519513303,37,2024-09-13 21:26:00,125
31132510568,37,2024-09-15 21:26:00,126
63889968589,37,2024-09-14 21:26:00,127
31132510568,38,2025-02-17 07:47:00,128
63889968589,38,2025-02-19 07:47:00,129
12449134563,38,2025-02-18 07:47:00,130
37468325386,38,2025-02-15 07:47:00,131
60154075612,38,2025-02-18 07:47:00,132
31132510568,39,2025-03-26 22:54:00,133
63889968589,39,2025-03-25 22:54:00,134
03519513303,39,2025-03-27 22:54:00,135
60154075612,39,2025-03-24 22:54:00,136
03519513303,40,2025-05-02 07:33:00,137
60154075612,40,2025-05-02 07:33:00,138
37468325386,40,2025-04-30 07:33:00,139
31132510568,40,2025-04-29 07:33:00,140
87560952267,41,2025-03-31 17:14:00,141
01587799207,41,2025-04-02 17:14:00,142
13992687418,41,2025-04-04 17:14:00,143
13992687418,42,2025-02-22 03:47:00,144
01587799207,42,2025-02-22 03:47:00,145
54837215170,42,2025-02-25 03:47:00,146
87560952267,42,2025-02-21 03:47:00,147
13992687418,43,2024-11-15 23:00:00,148
01587799207,43,2024-11-16 23:00:00,149
54837215170,43,2024-11-18 23:00:00,150
54837215170,44,2024-09-18 07:24:00,151
01587799207,44,2024-09-21 07:24:00,152
87560952267,44,2024-09-19 07:24:00,153
87560952267,45,2024-10-12 19:56:00,154
13992687418,45,2024-10-14 19:56:00,155
13992687418,46,2024-09-19 22:25:00,156
54837215170,46,2024-09-23 22:25:00,157
56923367700,47,2025-05-13 06:32:00,158
11083820520,47,2025-05-13 06:32:00,159
21813338089,47,2025-05-14 06:32:00,160
11994391037,47,2025-05-10 06:32:00,161
11083820520,48,2025-03-08 00:36:00,162
21813338089,48,2025-03-05 00:36:00,163
11083820520,49,2025-05-22 02:36:00,164
21813338089,49,2025-05-20 02:36:00,165
11994391037,49,2025-05-19 02:36:00,166
11083820520,50,2025-05-12 10:56:00,167
21813338089,50,2025-05-12 10:56:00,168
11994391037,50,2025-05-13 10:56:00,169
56923367700,50,2025-05-12 10:56:00,170
21813338089,51,2025-04-24 11:54:00,171
11083820520,51,2025-04-22 11:54:00,172
76422050248,52,2024-11-03 14:29:00,173
83001804966,52,2024-11-08 14:29:00,174
57064149986,52,2024-11-08 14:29:00,175
87826978085,53,2024-08-29 18:46:00,176
52902794879,53,2024-09-03 18:46:00,177
83001804966,53,2024-09-02 18:46:00,178
57064149986,53,2024-08-29 18:46:00,179
52902794879,54,2024-11-16 23:59:00,180
83001804966,54,2024-11-16 23:59:00,181
87826978085,54,2024-11-20 23:59:00,182
76422050248,54,2024-11-17 23:59:00,183
52902794879,55,2024-10-13 10:07:00,184
87826978085,55,2024-10-17 10:07:00,185
83001804966,55,2024-10-14 10:07:00,186
76422050248,55,2024-10-13 10:07:00,187
57064149986,55,2024-10-15 10:07:00,188
01212008620,56,2024-09-12 10:51:00,189
08878133149,56,2024-09-12 10:51:00,190
96615626704,56,2024-09-15 10:51:00,191
01212008620,57,2024-11-22 23:54:00,192
08878133149,57,2024-11-24 23:54:00,193
01212008620,58,2024-10-05 10:43:00,194
08878133149,58,2024-10-08 10:43:00,195
96615626704,58,2024-10-08 10:43:00,196
01212008620,59,2024-10-31 07:01:00,197
08878133149,59,2024-11-05 07:01:00,198
96615626704,59,2024-11-02 07:01:00,199
01212008620,60,2024-11-02 18:15:00,200
08878133149,60,2024-10-29 18:15:00,201
08878133149,61,2024-10-24 04:38:00,202
01212008620,61,2024-10-26 04:38:00,203
96615626704,61,2024-10-28 04:38:00,204
96615626704,62,2025-02-20 07:26:00,205
01212008620,62,2025-02-16 07:26:00,206
08878133149,62,2025-02-17 07:26:00,207
96615626704,63,2025-05-22 18:03:00,208
08878133149,63,2025-05-27 18:03:00,209
01212008620,63,2025-05-27 18:03:00,210
12449134563,64,2025-04-05 13:14:00,211
63889968589,64,2025-04-06 13:14:00,212
60154075612,64,2025-04-02 13:14:00,213
03519513303,64,2025-04-05 13:14:00,214
37468325386,64,2025-04-06 13:14:00,215
60154075612,65,2025-03-12 22:52:00,216
63889968589,65,2025-03-16 22:52:00,217
12449134563,65,2025-03-16 22:52:00,218
37468325386,65,2025-03-13 22:52:00,219
31132510568,65,2025-03-17 22:52:00,220
03519513303,66,2025-05-19 12:07:00,221
31132510568,66,2025-05-21 12:07:00,222
12449134563,66,2025-05-23 12:07:00,223
63889968589,66,2025-05-23 12:07:00,224
60154075612,66,2025-05-21 12:07:00,225
12449134563,67,2025-02-27 23:43:00,226
31132510568,67,2025-02-23 23:43:00,227
37468325386,67,2025-02-25 23:43:00,228
63889968589,67,2025-02-26 23:43:00,229
03519513303,67,2025-02-25 23:43:00,230
60154075612,67,2025-02-27 23:43:00,231
79860661772,68,2025-03-31 11:41:00,232
48155090538,68,2025-03-29 11:41:00,233
57248339310,68,2025-03-31 11:41:00,234
79860661772,69,2025-02-10 14:46:00,235
48155090538,69,2025-02-09 14:46:00,236
57248339310,69,2025-02-10 14:46:00,237
94306781529,70,2025-05-04 23:31:00,238
48155090538,70,2025-05-04 23:31:00,239
79860661772,70,2025-05-02 23:31:00,240
94306781529,71,2025-04-08 05:28:00,241
79860661772,71,2025-04-06 05:28:00,242
48155090538,71,2025-04-05 05:28:00,243
48155090538,72,2024-09-05 05:35:00,244
79860661772,72,2024-09-03 05:35:00,245
48155090538,73,2024-11-16 10:38:00,246
94306781529,73,2024-11-19 10:38:00,247
57248339310,73,2024-11-14 10:38:00,248
79860661772,74,2024-11-04 10:55:00,249
48155090538,74,2024-11-01 10:55:00,250
94306781529,75,2024-11-18 05:26:00,251
57248339310,75,2024-11-17 05:26:00,252
48155090538,75,2024-11-18 05:26:00,253
79860661772,75,2024-11-19 05:26:00,254
79860661772,76,2025-02-10 07:29:00,255
48155090538,76,2025-02-11 07:29:00,256
57248339310,76,2025-02-09 07:29:00,257
94306781529,76,2025-02-12 07:29:00,258
